チャンネル登録者数			1.3万人			1.3万人			1.32万人							1.32万人		1.32万人		1.32万人		1.32万人
	https://www.youtube.com/@DPFP_sub			1.32万人		コメント数	高評価数	視聴回数	コメント数	高評価数	視聴回数	コメント数	高評価数	視聴回数	コメント数	高評価数	視聴回数	コメント数	高評価数	視聴回数	コメント数	高評価数	視聴回数	コメント数	高評価数	視聴回数
	URL	種別	投稿日		出演者	2026/4/2	2026/4/2	2026/4/2	2026/4/6	2026/4/6	2026/4/6	2026/4/7	2026/4/7	2026/4/7	2026/4/8	2026/4/8	2026/4/8	2026/4/10	2026/4/10	2026/4/10	2026/4/14	2026/4/14	2026/4/14	2026/4/19	2026/4/19	2026/4/19
1	https://www.youtube.com/watch?v=si7cCPi6nqY	動画	3月12日	サブチャンネル再始動！•••何するの？	"森ようすけ
かごしま彰宏"	148	1018	8094				148	1023	8210	148	1024	8232	148	1025	8256	148	1026	8309	148	1025	8365
2	https://www.youtube.com/shorts/AhRO6jzaT18	ショート	3月12日	【閣法解説】在外公館名所位置給与法改正案 #深作ヘスス	深作ヘスス	14	289	3,790				14	291	3811	14	292	3820	14	293	3828	14	295	3842	14	299	3870
3	https://www.youtube.com/shorts/660ZmhvvTYY	ショート	3月13日	【閣法解説】特例公債法改正案 #原田秀一 #国民民主党	原田秀一	14	309	3,776				15	312	3821	15	312	3830	15	316	3839	15	321	3871	15	324	3883
4	https://www.youtube.com/shorts/Y4oJItD9fEc	ショート	3月14日	【閣法解説】JRA関連2法案 #村岡としひで #国民民主党	村岡としひで	8	213	2,717				8	214	2734	8	215	2745	8	216	2756	8	218	2768	8	220	2780
5	https://www.youtube.com/shorts/yZJy1VQnxsI	ショート	3月15日	【閣法解説】復興財確法改正案 #原田秀一 #国民民主党	原田秀一	10	181	2,851							10	182	2875	10	183	2884	10	186	2892	10	186	2901
6	https://www.youtube.com/shorts/6my12yempKI	ショート	3月16日	【閣法解説】義務教育標準法改正案 #西岡義高 #国民民主党	西岡義高	16	256	2,785							16	258	2813	16	259	2822	16	261	2833	16	263	2841
7	https://www.youtube.com/shorts/4TLeoKrqAWM	ショート	3月17日	【閣法解説】所得税改正案 #原田秀一 #国民民主党	原田秀一	10	213	2,492							10	214	2519	10	215	2525	10	218	2536	10	221	2547
8	https://www.youtube.com/shorts/hmFKNBimNsE	ショート	3月18日	【閣法解説】防災庁設置法案 & 関連法案	森ようすけ	15	290	3,483							15	292	3520	15	293	3527	15	295	3541	15	296	3554
9	https://www.youtube.com/watch?v=nDPerj4c2Tk	ライブ	3月19日	【緊急生配信】初質問した2人、予算委員会直後に話を聞いてみた	"牛田まゆ
平戸航太
小林さやか"	23	453	5,079				23	456	5133	23	456	5142	23	456	5150	23	456	5160	23	456	5173
10	https://www.youtube.com/shorts/WnK60cr2x7g	ショート	3月19日	【閣法解説】高校無償化法案 #西岡義高 #国民民主党	西岡義高	17	209	2,425							17	209	2451	17	210	2459	17	211	2472	17	212	2491
11	https://www.youtube.com/shorts/W2UL-JgY-kk	ショート	3月19日	予算委員会の質問直後に話を聞きました！LIVE配信をご覧ください #牛田まゆ #平戸航太 #小林さやか #国民民主党	"牛田まゆ
平戸航太
小林さやか"	3	280	3,507							3	280	3545	3	281	3556	3	283	3566	3	283	3577
12	https://www.youtube.com/watch?v=LoR3jM-BGRM	動画	3月20日	【コメント返し】1本目の動画の反応、どうだった？	"森ようすけ
かごしま彰宏"	98	763	7998				99	767	8031	99	767	8039	99	766	8045	99	767	8061	99	768	8080
13	https://www.youtube.com/shorts/-xlQGKzZP0Q	ショート	3月21日	【閣法解説】地方税改正案 #許斐亮太郎 #国民民主党	許斐亮太郎	12	260	3,071							12	260	3117	12	261	3121	12	265	3137	12	267	3154
14	https://www.youtube.com/shorts/z34iKndkLy4	ショート	3月22日	【閣法解説】金融機能強化法案 #原田秀一 #国民民主党	原田秀一	3	234	2,234							3	238	2307	3	239	2320	3	242	2340	3	243	2355
15	https://www.youtube.com/shorts/s8cPCkxspRo	ショート	3月23日	【閣法解説】物流効率化法改正案 #臼木秀剛 #国民民主党	臼木秀剛	17	329	3,507							17	334	3586	17	336	3595	17	338	3623	17	338	3639
16	https://www.youtube.com/watch?v=QYLDaZ3GdM8	動画	3月24日	【古川さんに聞く】国民会議、何してるの？	"かごしま彰宏
小林さやか
古川元久"	67	748	8810				67	754	9056	67	754	9071	67	755	9097	67	755	9127	67	755	9152
17	https://www.youtube.com/watch?v=jPOZRwuTuSs	ライブ	3月25日	【緊急LIVE】予算委員会、どうだった？ 終了直後に直撃！ #国民民主党 #山田吉彦 #かごしま彰宏 #森ようすけ	"山田吉彦
かごしま彰宏
森ようすけ"	60	775	9987				60	780	10,218	61	780	10247	61	781	10287	61	781	10312	61	781	10315
18	https://www.youtube.com/shorts/d-68UtbJySA	ショート	3月25日	【閣法解説】旅券法改正案 #深作ヘスス #国民民主党	深作ヘスス	10	281	3872							10	284	3972	10	286	3995	10	289	4030	10	293	4072
19	https://www.youtube.com/watch?v=D3kFOuOCTSk	ライブ	3月26日	【LIVE配信】本会議登壇直後！ #深作ヘスス 議員 に直撃🎙️	"深作ヘスス
森ようすけ"	20	407	4460				20	409	4609	20	409	4616	20	410	4628	20	410	4639	20	411	4645
20	https://www.youtube.com/watch?v=yYTsVyegrAg	動画	3月26日	【参院幹事長】川合さんに聞く！参議院での予算審議ってどうなってるの？ #国民民主党	"森ようすけ
川合孝典"	59	512	6650				60	521	6962	60	521	6992	60	521	7012	60	521	7025	60	521	7038
21	https://www.youtube.com/watch?v=3dG5qSEr7Eg	ライブ	3月27日	【LIVE配信】初の予算委直後に突撃！どうだった？ #国民民主党	"かごしま彰宏
小林さやか
奥村祥大"	25	539	7036				25	545	7343	25	545	7405	25	548	7457	25	549	7508	25	549	7524
22	https://www.youtube.com/shorts/zmnqYMyR9H4	ショート	3月27日	予算委員会振り返り！LIVEアーカイブぜひご覧ください #国民民主党 #かごしま彰宏 #小林さやか #奥村祥大	"かごしま彰宏
小林さやか
奥村祥大"	3	221	2823							3	229	2911	3	230	2924	3	232	2938	3	232	2951
